codigo_proyecto,nombre_proyecto,codigo_subdivision,nombre_subdivision,nombre_tipologia,nombre,total_habitaciones,precio_lista,precio lista miles,precio_venta,estado_comercial,Estado comercial,PISO,P_m2 dolares con dscto y area libre,area_techada,area_libre,area_total
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A2408,1,233733.17,S/ 233.73,0,disponible,Disponible,24,$1418,40.09,0,40.09
NP,Torre Nápoles,NP-A,Torre A,AX09 - 38.06 - 1 dorm - Interna,A2409,1,233616.56,S/ 233.62,0,disponible,Disponible,24,$1418,40.07,0,40.07
NP,Torre Nápoles,NP-A,Torre A,AX10 - 36.98 - 1 dorm - Interna,A2410,1,235532.94,S/ 235.53,176000,vendido,Separado/Vendido,24,$1184,40.16,0,40.16
NP,Torre Nápoles,NP-B,Torre B,,A2516,,173471.47,S/ 173.47,0,no disponible,No Disponible,25,$1399,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,A2515,,212195.59,S/ 212.20,0,no disponible,No Disponible,25,$1365,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,A2512,,288803.65,S/ 288.80,0,no disponible,No Disponible,25,$1341,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A2511,,305227.98,S/ 305.23,0,no disponible,No Disponible,25,$1341,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,A2514,,327144.38,S/ 327.14,0,no disponible,No Disponible,25,$1349,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A2513,,329029.62,S/ 329.03,0,no disponible,No Disponible,25,$1349,59.34,0,59.34
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A2501,2,333247.92,S/ 333.25,0,disponible,Disponible,25,$1421,57.04,0,57.04
NP,Torre Nápoles,NP-A,Torre A,AX02 - 55.48 - 2 dorm - Exterior,A2502,2,326039.38,S/ 326.04,0,disponible,Disponible,25,$1429,55.48,0,55.48
